"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL209574";"";"None";"491.42";"0";"4.15";"26";"Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4ccc([N+](=O)[O-])cc43)C(F)(F)F)cc12";"IC50";"'='";"19.95";"nM";"7.70";"";"";"UO_0000065";"15.67";"0.30";"3.55";"5.68";"0";"CHEMBL869701";"Inhibition of fluorescent-labeled Dexamethasone binding to GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138886";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"7.7"
"CHEMBL212312";"";"None";"525.32";"2";"5.00";"23a";"Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4c(Br)cccc43)C(F)(F)F)cc12";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869702";"Agonist activity at GR assessed as NF-kappaB-mediated transrepression of secreted placental alkaline phosphatase gene in human A549 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138886";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307651";"";"";"";"6.0"
"CHEMBL212312";"";"None";"525.32";"2";"5.00";"23a";"Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4c(Br)cccc43)C(F)(F)F)cc12";"IC50";"'='";"15.85";"nM";"7.80";"";"";"UO_0000065";"14.85";"0.32";"2.80";"8.44";"0";"CHEMBL869701";"Inhibition of fluorescent-labeled Dexamethasone binding to GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138886";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"7.8"
"CHEMBL211387";"";"None";"480.87";"0";"4.89";"20a";"Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4c(Cl)cccc43)C(F)(F)F)cc12";"IC50";"'='";"5.012";"nM";"8.30";"";"";"UO_0000065";"17.26";"0.34";"3.41";"8.98";"0";"CHEMBL869701";"Inhibition of fluorescent-labeled Dexamethasone binding to GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138886";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"8.3"
"CHEMBL211387";"";"None";"480.87";"0";"4.89";"20a";"Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4c(Cl)cccc43)C(F)(F)F)cc12";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869702";"Agonist activity at GR assessed as NF-kappaB-mediated transrepression of secreted placental alkaline phosphatase gene in human A549 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138886";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307651";"";"";"";"6.0"
"CHEMBL211331";"";"None";"464.42";"0";"4.38";"28";"Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4ccc(F)cc43)C(F)(F)F)cc12";"IC50";"'='";"15.85";"nM";"7.80";"";"";"UO_0000065";"16.80";"0.32";"3.42";"8.44";"0";"CHEMBL869701";"Inhibition of fluorescent-labeled Dexamethasone binding to GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138886";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"7.8"
"CHEMBL190838";"";"None";"446.43";"0";"4.24";"4a";"Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4ccccc43)C(F)(F)F)cc12";"IC50";"'='";"7.943";"nM";"8.10";"";"";"UO_0000065";"18.14";"0.35";"3.86";"8.76";"0";"CHEMBL869701";"Inhibition of fluorescent-labeled Dexamethasone binding to GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138886";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"8.1"
"CHEMBL1254494";"";"None";"438.88";"1";"5.36";"57";"CC(C)(CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)F)c1cc(Cl)cc2c1OCC2";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"17.70";"0.35";"2.41";"13.36";"0";"CHEMBL1250867";"Transrepression activity at glucocorticoid receptor in HFF assessed as inhibition of IL-1-induced IL-6 production after 18 to 24 hrs by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250518";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"17.0"
"CHEMBL1254079";"";"None";"394.41";"1";"5.21";"33";"Cc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2ccncc2[nH]1)C(F)(F)F";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"18.81";"0.36";"2.21";"15.17";"0";"CHEMBL1250867";"Transrepression activity at glucocorticoid receptor in HFF assessed as inhibition of IL-1-induced IL-6 production after 18 to 24 hrs by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250518";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"38.0"
"CHEMBL401267";"";"None";"461.58";"1";"6.43";"2i";"C=C1OC(C)=N[C@]12CC[C@H]1[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(OC)c(F)c3)C[C@@]12C";"IC50";"'='";"660.0";"nM";"6.18";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL924028";"Antagonist activity at glucocorticoid receptor expressed in A549 cells assessed as inhibition of corticoid-induced gene transcription by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140481";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307651";"";"";"";"660.0"
"CHEMBL250220";"";"None";"469.63";"1";"6.88";"2b";"C=C1OC(CC)=N[C@]12CC[C@H]1[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(C(C)=O)cc3)C[C@@]12C";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL924028";"Antagonist activity at glucocorticoid receptor expressed in A549 cells assessed as inhibition of corticoid-induced gene transcription by luciferase reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140481";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307651";"";"";"";"210.0"
"CHEMBL1097475";"";"None";"350.37";"0";"4.56";"3";"CC(O)(c1ccc(F)cc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1";"IC50";"'='";"2113.0";"nM";"5.67";"";"";"UO_0000065";"16.20";"0.30";"1.12";"14.91";"0";"CHEMBL1114665";"Binding affinity to human glucocorticoid receptor by fluorescence polarization competitive binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157802";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"2113.0"
